price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
14.28,1.55,Cerveza Amstel 100% malta pack de 28 latas de 33 cl.,Cupón 50%,amstel original,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185128_00_1.jpg,Carrefour,yes,14,others
12.7,3.21,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,No promotion,alhambra 1925,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/587130_00_1.jpg,Carrefour,no,15,others
11.47,2.9,Cerveza 1906 reserva especial pack de 12 botellas 33 cl.,No promotion,estrella galicia 1906,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/771393_00_1.jpg,Carrefour,no,16,others
14.56,1.58,Cerveza San Miguel especial Lager pack de 28 latas de 33 cl.,Cupón 50%,san miguel,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718561_00_1.jpg,Carrefour,yes,17,others
6.2,1.57,Cerveza Alhambra tradicional pack de 12 latas de 33 cl.,2ª al -50%,alhambra,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/618756_00_1.jpg,Carrefour,yes,18,others
5.95,1.98,Cerveza Mahou 5 Estrellas especial pack de 12 botellas de 25 cl.,No promotion,mahou 5 estrellas,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/523315_00_1.jpg,Carrefour,no,19,others
9.39,1.57,Cerveza Cruzcampo Pilsen pack de 24 botellas de 25 cl.,No promotion,cruzcampo,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/000147_00_1.jpg,Carrefour,no,20,others
6.21,1.57,Cerveza Amstel Radler con limón pack de 12 latas de 33 cl.,No promotion,amstel radler,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/958874_00_1.jpg,Carrefour,no,21,radler 
6.3,1.59,Cerveza Mahou Sin alcohol pack de 12 latas de 33 cl.,2ª al -50%,"mahou sin alcohol (0,0%)",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/760654_00_1.jpg,Carrefour,yes,22,sin alcohol 
3.7,2.94,Cerveza Coronita pack de 6 botellas de 21 cl.,No promotion,coronita,botella,21 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/197503_00_1.jpg,Carrefour,no,23,others
6.58,3.32,Cerveza Alhambra Reserva 1925 pack de 6 botellas de 33 cl.,No promotion,alhambra 1925,botella,33 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/272331_00_1.jpg,Carrefour,no,24,others
6.48,1.64,"Cerveza San Miguel 0,0 sin alcohol Lager pack de 12 latas de 33 cl.",No promotion,"san miguel sin alcohol (0,0%)",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/646833_00_1.jpg,Carrefour,no,25,sin alcohol 
6.48,2.16,Cerveza Estrella Damm mediterránea pack de 12 botellas de 25 cl.,No promotion,estrella damm,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/152758_00_1.jpg,Carrefour,no,26,others
0.63,1.91,"Cerveza Mahou 0,0 sin alcohol tostada lata 33 cl.",No promotion,"mahou sin alcohol (0,0%)",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/345280_00_1.jpg,Carrefour,no,27,sin alcohol 
0.56,1.7,"Cerveza San Miguel 0,0 radler con limón lata 33 cl.",Cupón 50%,"san miguel radler sin alcohol (0,0%)",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/196826_00_1.jpg,Carrefour,yes,28,radler sin alcohol 
2.39,1.59,"Cerveza San Miguel 0,0 sin alcohol pack de 6 botellas de 25 cl.",2ª al -50%,"san miguel sin alcohol (0,0%)",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/000165_00_1.jpg,Carrefour,yes,29,sin alcohol 
3.59,2.39,"Cerveza Mahou 0,0 sin alcohol tostada pack de 6 botellas de 25 cl.",No promotion,"mahou sin alcohol (0,0%)",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/273908_00_1.jpg,Carrefour,no,30,sin alcohol 
8.83,2.23,Cerveza Voll Damm doble malta pack de 12 latas de 33 cl.,No promotion,voll-damm,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/583640_00_1.jpg,Carrefour,no,31,others
0.22,0.67,Cerveza Koenigsbier 4% lata 33 cl. ,No promotion,koenigsbier,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/102681_00_1.jpg,Carrefour,no,32,others
11.95,1.99,Cerveza Mahou 5 Estrellas especial pack de 24 botellas de 25 cl.,No promotion,mahou 5 estrellas,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/760660_00_1.jpg,Carrefour,no,33,others
7.02,1.77,Cerveza Alhambra Lager especial pack de 12 latas de 33 cl.,No promotion,alhambra especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/718540_00_1.jpg,Carrefour,no,34,others
7.36,1.86,Cerveza Heineken Lager pack de 12 latas de 33 cl.,No promotion,heineken,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/537792_00_1.jpg,Carrefour,no,35,others
6.95,2.32,Cerveza Heineken Lager pack de 12 botellas de 25 cl.,No promotion,heineken,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/672150_00_1.jpg,Carrefour,no,36,others
